
ID	Title	Description	
1	Categorise words by part-of-speech	The objective of this task is to take a frequency list of words for AAA and categorise them by their part-of-speech. Further information can be found on the following page: http://wiki.apertium.org/wiki/Task_ideas_for_Google_Code-in/Categorise_words_from_frequency_list . You will need to have some knowledge of the language whose words you intend to categorise	
2	Lemmatise words by frequency	The objective of this task is to take a frequency list of words for AAA which have been categorised and then lemmatise them. This means finding the "base" or "dictionary" form of the word. Further information can be found on the following page: http://wiki.apertium.org/wiki/Task_ideas_for_Google_Code-in/Lemmatise_words_from_frequency_list . You will need to have some knowledge of the language whose words you intend to lemmatise.	
3	Intersection of ATT format transducers 	The objective of these tasks is to write code to intersect two finite-state transducers. The first transducer is a bilingual dictionary that has been converted into prefixes and the second transducer is the monolingual dictionary. You can find out more about the task on this web page: http://wiki.apertium.org/wiki/Task_ideas_for_Google_Code-in/Intersection_of_ATT_format_transducers	
4	Categorise words by inflectional paradigm	The objective of this task is to find the inflectional paradigm for a series of words in AAA. This can be done manually, or semi-automatically. The following page has further details: http://wiki.apertium.org/wiki/Task_ideas_for_Google_Code-in/Add_words_from_frequency_list	
5	Extract (scrape) inflections from Wiktionary	The objective of this task is to extract (or scrape) inflectional information for AAA from Wiktionary. This will involve either processing wiki code or HTML code. Further information can  be found at the following link: http://wiki.apertium.org/wiki/Task_ideas_for_Google_Code-in/Scrape_inflection_information_from_Wiktionary	
6	Language detection in apertium-apy	The objective of this task is to add a function to do language detection to apertium-apy, a python based web services API for Apertium. Further information at the following URL: http://wiki.apertium.org/wiki/Task_ideas_for_Google_Code-in/Language_detection_in_simple-html_and_apertium-apy	
7	Localised 'available languages' in apertium-apy	The objective of this task is to make a new function to return a list of available languages in translation in apertium-apy, a python-based web-services API for Apertium. Further information can be found at the following URL: http://wiki.apertium.org/wiki/Task_ideas_for_Google_Code-in/Language_detection_in_simple-html_and_apertium-apy	
8	Hand-annotate 500 words of text	The objective of this task is to manually morphologically disambiguate running words of text in AAA. More information can be found on the Wiki here: http://wiki.apertium.org/wiki/Task_ideas_for_Google_Code-in/Morphologically_disambiguating_text	
9	Abstract formatting for the simple-html interface	 The <a href="http://wiki.apertium.org/wiki/Simple-html">simple-html</a> interface should be easily customisable so that people can make it look how they want. The task is to abstract the formatting and make one or more new stylesheets to change the appearance. This is basically making a way of "skinning" the interface. 	
10	Interface behaviour for language guessing	The objective of this task is to improve the behaviour of the interface for selecting languages in the simple-html interface for Apertium. It will involve using JavaScript and CSS to choose the most probable language and to highlight other probable languages. Further information can be found here: http://wiki.apertium.org/wiki/Task_ideas_for_Google_Code-in/Language_detection_in_simple-html_and_apertium-apy	
